genre,year,yhat,yhat_lower,yhat_upper,model,order,aic,n_obs,model_version,created_at
Horror,2024,0.0,0.0,0.0,SARIMAX,"(1, 1, 1)",403.50823750610834,41,v0.1-baseline,2025-09-08T16:12:05.549828
Horror,2025,0.0,0.0,0.0,SARIMAX,"(1, 1, 1)",403.50823750610834,41,v0.1-baseline,2025-09-08T16:12:05.549828
Romance,2021,0.0,0.0,0.0,SARIMAX,"(1, 1, 1)",385.193031504949,41,v0.1-baseline,2025-09-08T16:12:05.549828
Romance,2022,0.0,0.0,0.0,SARIMAX,"(1, 1, 1)",385.193031504949,41,v0.1-baseline,2025-09-08T16:12:05.549828
Romance,2023,0.0,0.0,0.0,SARIMAX,"(1, 1, 1)",385.193031504949,41,v0.1-baseline,2025-09-08T16:12:05.549828
Romance,2024,0.0,0.0,0.0,SARIMAX,"(1, 1, 1)",385.193031504949,41,v0.1-baseline,2025-09-08T16:12:05.549828
Romance,2025,0.0,0.0,0.0,SARIMAX,"(1, 1, 1)",385.193031504949,41,v0.1-baseline,2025-09-08T16:12:05.549828
Sci-Fi,2021,47.8809665587097,17.950579657129797,77.81135346028961,SARIMAX,"(1, 1, 1)",323.55501122713366,41,v0.1-baseline,2025-09-08T16:12:05.549828
Sci-Fi,2022,41.07347153443558,1.3919891468478056,80.75495392202336,SARIMAX,"(1, 1, 1)",323.55501122713366,41,v0.1-baseline,2025-09-08T16:12:05.549828
Sci-Fi,2023,47.98821694137247,0.0,97.53867265327608,SARIMAX,"(1, 1, 1)",323.55501122713366,41,v0.1-baseline,2025-09-08T16:12:05.549828
Sci-Fi,2024,42.083384110782966,0.0,98.17714937039898,SARIMAX,"(1, 1, 1)",323.55501122713366,41,v0.1-baseline,2025-09-08T16:12:05.549828
Sci-Fi,2025,48.15484531263645,0.0,111.51080790239416,SARIMAX,"(1, 1, 1)",323.55501122713366,41,v0.1-baseline,2025-09-08T16:12:05.549828
Thriller,2021,0.0,0.0,0.0,SARIMAX,"(1, 1, 1)",413.21196969144745,41,v0.1-baseline,2025-09-08T16:12:05.549828
Thriller,2022,0.0,0.0,0.0,SARIMAX,"(1, 1, 1)",413.21196969144745,41,v0.1-baseline,2025-09-08T16:12:05.549828
Thriller,2023,0.0,0.0,0.0,SARIMAX,"(1, 1, 1)",413.21196969144745,41,v0.1-baseline,2025-09-08T16:12:05.549828
Thriller,2024,0.0,0.0,0.0,SARIMAX,"(1, 1, 1)",413.21196969144745,41,v0.1-baseline,2025-09-08T16:12:05.549828
Thriller,2025,0.0,0.0,0.0,SARIMAX,"(1, 1, 1)",413.21196969144745,41,v0.1-baseline,2025-09-08T16:12:05.549828
