genre,year,hype_index
Action,2010,25.61111111111111
Action,2011,27.63888888888889
Action,2012,35.97222222222222
Action,2013,46.388888888888886
Action,2014,56.69444444444445
Action,2015,56.44444444444445
Action,2016,63.27777777777778
Action,2017,77.44444444444444
Action,2018,56.833333333333336
Action,2019,39.05555555555556
Action,2020,45.27777777777778
Action,2021,36.94444444444444
Action,2022,34.361111111111114
Action,2023,29.5
Action,2024,25.583333333333332
Action,2025,22.925925925925927
Adventure,2010,87.65277777777777
Adventure,2011,84.30555555555556
Adventure,2012,84.61111111111111
Adventure,2013,76.83333333333333
Adventure,2014,73.80555555555556
Adventure,2015,64.5
Adventure,2016,58.888888888888886
Adventure,2017,69.22222222222223
Adventure,2018,48.861111111111114
Adventure,2019,50.52777777777778
Adventure,2020,38.52777777777778
Adventure,2021,42.44444444444444
Adventure,2022,44.55555555555555
Adventure,2023,49.888888888888886
Adventure,2024,25.527777777777775
Adventure,2025,25.259259259259256
Animation,2010,67.94444444444444
Animation,2011,70.02777777777779
Animation,2012,76.72222222222221
Animation,2013,89.8611111111111
Animation,2014,92.83333333333333
Animation,2015,84.77777777777779
Animation,2016,76.26388888888889
Animation,2017,0.25
Animation,2018,4.388888888888889
Animation,2019,26.222222222222225
Animation,2020,18.083333333333332
Animation,2021,17.166666666666668
Animation,2022,32.166666666666664
Animation,2023,31.305555555555557
Animation,2024,32.25
Animation,2025,33.03703703703704
Comedy,2010,33.083333333333336
Comedy,2011,40.25
Comedy,2012,42.666666666666664
Comedy,2013,48.638888888888886
Comedy,2014,54.27777777777778
Comedy,2015,51.25
Comedy,2016,47.388888888888886
Comedy,2017,61.25
Comedy,2018,78.22222222222221
Comedy,2019,69.22222222222221
Comedy,2020,43.22222222222222
Comedy,2021,26.5
Comedy,2022,22.444444444444443
Comedy,2023,18.583333333333332
Comedy,2024,19.47222222222222
Comedy,2025,18.51851851851852
Documentary,2010,13.902777777777779
Documentary,2011,31.222222222222225
Documentary,2012,27.444444444444443
Documentary,2013,28.5
Documentary,2014,23.694444444444443
Documentary,2015,37.61111111111111
Documentary,2016,30.277777777777775
Documentary,2017,0.0
Documentary,2018,0.0
Documentary,2019,0.0
Documentary,2020,0.0
Documentary,2021,0.0
Documentary,2022,2.0
Documentary,2023,0.0
Documentary,2024,0.0
Documentary,2025,0.0
Drama,2010,26.027777777777775
Drama,2011,29.472222222222225
Drama,2012,33.27777777777778
Drama,2013,33.80555555555556
Drama,2014,43.416666666666664
Drama,2015,45.77777777777778
Drama,2016,41.94444444444444
Drama,2017,6.833333333333333
Drama,2018,13.736111111111112
Drama,2019,21.972222222222225
Drama,2020,44.333333333333336
Drama,2021,82.8888888888889
Drama,2022,50.416666666666664
Drama,2023,27.61111111111111
Drama,2024,27.444444444444443
Drama,2025,29.11111111111111
Family,2010,48.31944444444445
Family,2011,49.94444444444445
Family,2012,52.30555555555555
Family,2013,55.833333333333336
Family,2014,64.16666666666667
Family,2015,65.69444444444444
Family,2016,71.75
Family,2017,78.83333333333333
Family,2018,73.94444444444444
Family,2019,80.22222222222223
Family,2020,82.91666666666667
Family,2021,71.91666666666667
Family,2022,73.83333333333333
Family,2023,74.27777777777779
Family,2024,67.94444444444444
Family,2025,65.92592592592592
Fantasy,2010,53.388888888888886
Fantasy,2011,59.638888888888886
Fantasy,2012,67.75
Fantasy,2013,77.97222222222221
Fantasy,2014,86.69444444444444
Fantasy,2015,83.86111111111111
Fantasy,2016,70.66666666666667
Fantasy,2017,36.44444444444444
Fantasy,2018,63.77777777777778
Fantasy,2019,68.08333333333333
Fantasy,2020,70.41666666666667
Fantasy,2021,67.69444444444444
Fantasy,2022,57.05555555555555
Fantasy,2023,57.77777777777778
Fantasy,2024,57.333333333333336
Fantasy,2025,53.48148148148148
Horror,2010,49.09722222222222
Horror,2011,55.27777777777778
Horror,2012,60.22222222222222
Horror,2013,62.916666666666664
Horror,2014,72.66666666666667
Horror,2015,71.02777777777779
Horror,2016,73.94444444444444
Horror,2017,84.1388888888889
Horror,2018,61.666666666666664
Horror,2019,57.611111111111114
Horror,2020,59.44444444444445
Horror,2021,54.72222222222222
Horror,2022,57.44444444444445
Horror,2023,60.666666666666664
Horror,2024,59.52777777777778
Horror,2025,55.2962962962963
Romance,2010,38.916666666666664
Romance,2011,45.611111111111114
Romance,2012,49.083333333333336
Romance,2013,60.138888888888886
Romance,2014,71.83333333333333
Romance,2015,73.72222222222223
Romance,2016,73.02777777777779
Romance,2017,43.05555555555555
Romance,2018,75.91666666666667
Romance,2019,75.66666666666667
Romance,2020,77.19444444444444
Romance,2021,82.75
Romance,2022,76.33333333333333
Romance,2023,63.583333333333336
Romance,2024,56.25
Romance,2025,52.37037037037037
Sci-Fi,2010,63.72222222222222
Sci-Fi,2011,65.30555555555556
Sci-Fi,2012,65.52777777777779
Sci-Fi,2013,68.83333333333333
Sci-Fi,2014,81.02777777777779
Sci-Fi,2015,86.52777777777777
Sci-Fi,2016,74.97222222222223
Sci-Fi,2017,55.22222222222222
Sci-Fi,2018,63.194444444444436
Sci-Fi,2019,71.66666666666667
Sci-Fi,2020,77.8888888888889
Sci-Fi,2021,66.91666666666667
Sci-Fi,2022,62.166666666666664
Sci-Fi,2023,50.80555555555555
Sci-Fi,2024,50.416666666666664
Sci-Fi,2025,48.148148148148145
Thriller,2010,67.55555555555556
Thriller,2011,59.19444444444445
Thriller,2012,49.083333333333336
Thriller,2013,51.166666666666664
Thriller,2014,54.30555555555555
Thriller,2015,54.833333333333336
Thriller,2016,51.416666666666664
Thriller,2017,56.0
Thriller,2018,53.94444444444445
Thriller,2019,53.333333333333336
Thriller,2020,67.63888888888889
Thriller,2021,61.69444444444445
Thriller,2022,61.69444444444445
Thriller,2023,66.0
Thriller,2024,69.33333333333333
Thriller,2025,69.22222222222223
