genre,year,title_count,votes_median
Drama,2020,319,487.0
Family,1980,18,428.0
Family,1981,26,493.5
Family,1982,26,344.0
Family,1983,17,455.0
Family,1984,24,331.0
Family,1985,31,992.0
Family,1986,37,678.0
Family,1987,36,353.5
Family,1988,24,413.0
Family,1989,29,356.0
Family,1990,32,797.0
Family,1991,34,952.5
Family,1992,34,870.0
Family,1993,47,1730.0
Family,1994,49,1734.0
Family,1995,49,1852.0
Family,1996,52,503.0
Family,1997,51,615.0
Family,1998,53,417.0
Family,1999,75,415.0
Family,2000,56,331.0
Family,2001,51,537.0
Family,2002,60,563.0
Family,2003,70,547.5
Family,2004,60,667.5
Family,2005,87,777.0
Family,2006,79,623.0
Family,2007,74,1252.5
Family,2008,83,432.0
Family,2009,95,469.0
Family,2010,101,484.0
Family,2011,96,459.0
Family,2012,117,360.0
Family,2013,142,360.0
Family,2014,144,339.5
Family,2015,146,329.0
Family,2016,137,350.0
Family,2017,139,312.0
Family,2018,137,368.0
Family,2019,126,347.5
Family,2020,31,649.0
Fantasy,1980,20,1858.0
Fantasy,1981,24,879.0
Fantasy,1982,33,470.0
Fantasy,1983,39,720.0
Fantasy,1984,33,762.0
Fantasy,1985,34,1002.0
Fantasy,1986,38,474.0
Fantasy,1987,60,1480.5
Fantasy,1988,53,1070.0
Fantasy,1989,46,832.5
Fantasy,1990,45,719.0
Fantasy,1991,51,817.0
Fantasy,1992,30,3340.5
Fantasy,1993,45,1482.0
Fantasy,1994,38,472.5
Fantasy,1995,42,809.0
Fantasy,1996,47,642.0
Fantasy,1997,40,889.0
Fantasy,1998,44,536.5
Fantasy,1999,60,589.0
Fantasy,2000,57,1624.0
Fantasy,2001,65,1269.0
Fantasy,2002,59,773.0
Fantasy,2003,65,579.0
Fantasy,2004,55,1378.0
Fantasy,2005,79,1342.0
Fantasy,2006,85,1679.0
Fantasy,2007,83,1789.0
Fantasy,2008,91,935.0
Fantasy,2009,97,1527.0
Fantasy,2010,77,1056.0
Fantasy,2011,97,986.0
Fantasy,2012,97,1031.0
Fantasy,2013,101,1083.0
Fantasy,2014,113,673.0
Fantasy,2015,116,673.5
Fantasy,2016,123,790.0
Fantasy,2017,124,641.0
Fantasy,2018,138,613.5
Fantasy,2019,99,562.0
Fantasy,2020,24,256.5
Horror,1980,82,1033.0
Horror,1981,82,1966.5
Horror,1982,91,838.0
Horror,1983,67,899.0
Horror,1984,58,885.0
Horror,1985,60,526.5
Horror,1986,78,1313.5
Horror,1987,122,677.0
Horror,1988,152,620.5
Horror,1989,129,542.0
Horror,1990,98,857.0
Horror,1991,70,617.5
Horror,1992,65,639.0
Horror,1993,57,827.0
Horror,1994,48,578.5
Horror,1995,68,765.0
Horror,1996,53,706.0
Horror,1997,62,478.5
Horror,1998,61,710.0
Horror,1999,75,578.0
Horror,2000,81,870.0
Horror,2001,90,743.5
Horror,2002,86,1108.0
Horror,2003,112,614.0
Horror,2004,151,848.0
Horror,2005,176,1009.5
Horror,2006,246,853.5
Horror,2007,250,786.0
Horror,2008,232,639.0
Horror,2009,278,856.5
Horror,2010,270,533.0
Horror,2011,270,750.5
Horror,2012,330,627.0
Horror,2013,379,556.0
Horror,2014,416,540.5
Horror,2015,439,511.0
Horror,2016,413,586.0
Horror,2017,455,466.0
Horror,2018,436,511.0
Horror,2019,361,509.0
Horror,2020,103,385.0
Romance,1980,57,589.0
Romance,1981,79,565.0
Romance,1982,52,806.5
Romance,1983,85,831.0
Romance,1984,91,737.0
Romance,1985,96,743.5
Romance,1986,78,846.0
Romance,1987,98,900.0
Romance,1988,111,919.0
Romance,1989,91,695.0
Romance,1990,81,651.0
Romance,1991,109,990.0
Romance,1992,116,1021.0
Romance,1993,124,804.5
Romance,1994,132,601.5
Romance,1995,139,821.0
Romance,1996,180,661.0
Romance,1997,179,621.0
Romance,1998,208,809.0
Romance,1999,229,774.0
Romance,2000,255,743.0
Romance,2001,254,748.5
Romance,2002,273,932.0
Romance,2003,266,724.0
Romance,2004,291,1010.0
Romance,2005,297,853.0
Romance,2006,301,854.0
Romance,2007,295,742.0
Romance,2008,297,729.0
Romance,2009,307,970.0
Romance,2010,297,1016.0
Romance,2011,308,805.5
Romance,2012,315,865.0
Romance,2013,380,689.5
Romance,2014,412,598.5
Romance,2015,382,586.0
Romance,2016,377,623.0
Romance,2017,348,529.5
Romance,2018,345,483.0
Romance,2019,287,383.0
Romance,2020,85,661.0
Sci-Fi,1980,34,1289.0
Sci-Fi,1981,24,784.5
Sci-Fi,1982,36,2188.0
Sci-Fi,1983,34,906.5
Sci-Fi,1984,41,1180.0
Sci-Fi,1985,35,1012.0
Sci-Fi,1986,48,1039.5
Sci-Fi,1987,54,729.0
Sci-Fi,1988,60,498.5
Sci-Fi,1989,47,730.0
Sci-Fi,1990,47,925.0
Sci-Fi,1991,45,1054.0
Sci-Fi,1992,28,592.5
Sci-Fi,1993,36,1063.0
Sci-Fi,1994,33,633.0
Sci-Fi,1995,55,701.0
Sci-Fi,1996,51,732.0
Sci-Fi,1997,56,478.0
Sci-Fi,1998,38,523.5
Sci-Fi,1999,48,759.5
Sci-Fi,2000,39,1207.0
Sci-Fi,2001,50,939.0
Sci-Fi,2002,36,1867.0
Sci-Fi,2003,38,892.5
Sci-Fi,2004,51,1313.0
Sci-Fi,2005,55,659.0
Sci-Fi,2006,49,1722.0
Sci-Fi,2007,66,677.5
Sci-Fi,2008,65,836.0
Sci-Fi,2009,78,1678.0
Sci-Fi,2010,85,682.0
Sci-Fi,2011,98,769.0
Sci-Fi,2012,96,657.5
Sci-Fi,2013,138,916.0
Sci-Fi,2014,119,840.0
Sci-Fi,2015,132,770.5
Sci-Fi,2016,131,552.0
Sci-Fi,2017,142,712.5
Sci-Fi,2018,129,976.0
Sci-Fi,2019,91,1011.0
Sci-Fi,2020,40,503.5
Thriller,1980,59,770.0
Thriller,1981,53,1988.0
Thriller,1982,55,810.0
Thriller,1983,54,1293.0
Thriller,1984,61,764.0
Thriller,1985,62,491.5
Thriller,1986,84,500.0
Thriller,1987,101,547.0
Thriller,1988,95,502.0
Thriller,1989,109,362.0
Thriller,1990,88,694.0
Thriller,1991,93,393.0
Thriller,1992,99,471.0
Thriller,1993,122,539.0
Thriller,1994,127,361.0
Thriller,1995,148,568.5
Thriller,1996,140,516.0
Thriller,1997,150,457.5
Thriller,1998,145,497.0
Thriller,1999,174,483.5
Thriller,2000,161,628.0
Thriller,2001,154,507.0
Thriller,2002,155,941.0
Thriller,2003,152,997.5
Thriller,2004,176,887.5
Thriller,2005,189,670.0
Thriller,2006,266,1009.5
Thriller,2007,254,1104.5
Thriller,2008,260,743.0
Thriller,2009,305,1006.0
Thriller,2010,320,668.0
Thriller,2011,334,759.0
Thriller,2012,373,873.0
Thriller,2013,467,765.0
Thriller,2014,486,730.5
Thriller,2015,501,589.0
Thriller,2016,540,590.5
Thriller,2017,540,546.5
Thriller,2018,505,611.0
Thriller,2019,460,554.5
Thriller,2020,158,484.0
