genre,year,yhat,yhat_lower,yhat_upper,model,order,aic,n_obs,model_version,created_at
Family,2025,0.0,0.0,2.0,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Fantasy,2021,48.03103820195958,38.42483056156767,57.6372458423515,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Fantasy,2022,64.50224813194028,51.601798505552225,77.40269775832833,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Fantasy,2023,75.94083337916395,60.75266670333116,91.12900005499674,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Fantasy,2024,84.02916908548563,67.22333526838851,100.83500290258276,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Fantasy,2025,89.88722284275383,71.90977827420306,107.8646674113046,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Horror,2021,169.22177382521312,135.3774190601705,203.06612859025574,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Horror,2022,214.5688364131086,171.65506913048688,257.48260369573035,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Horror,2023,245.9558842454041,196.76470739632327,295.1470610944849,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Horror,2024,268.00713769180265,214.40571015344213,321.6085652301632,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Horror,2025,283.81505555857495,227.05204444685995,340.57806667028996,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Romance,2021,29.373337963286414,23.49867037062913,35.2480055559437,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Romance,2022,0.0,0.0,2.0,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Romance,2023,0.0,0.0,2.0,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Romance,2024,0.0,0.0,2.0,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Romance,2025,0.0,0.0,2.0,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Sci-Fi,2021,48.46835640613078,38.77468512490462,58.16202768735694,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Sci-Fi,2022,55.716473127689824,44.57317850215186,66.85976775322779,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Sci-Fi,2023,61.96686255921793,49.57349004737434,74.36023507106151,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Sci-Fi,2024,67.40146165229147,53.921169321833176,80.88175398274977,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Sci-Fi,2025,72.16903090367835,57.735224722942675,86.60283708441402,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Thriller,2021,332.17223916255875,265.737791330047,398.6066869950705,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Thriller,2022,397.9752117832366,318.3801694265893,477.5702541398839,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Thriller,2023,425.0753533709659,340.06028269677273,510.09042404515907,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Thriller,2024,438.3532261756349,350.68258094050793,526.0238714107619,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Thriller,2025,446.6946354397296,357.3557083517837,536.0335625276755,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
